Operateur,x,y,2G,3G,4G
Orange,102980,6847973,1,1,0
SFR,103113,6848661,1,1,0
Bouygues,103114,6848664,1,1,1
Orange,112032,6840427,0,1,1
Orange,115635,6799938,1,1,0
Bouygues,124571,6834344,1,1,1
Bouygues,124695,6799102,1,0,0
Orange,124754,6834397,1,1,0
Bouygues,126832,6850891,1,1,0
Orange,126839,6850905,1,1,0
SFR,127043,6835882,1,1,1
Orange,127568,6845233,1,1,1
Orange,128710,6798555,1,1,1
Bouygues,128752,6833527,1,1,1
Free,128760,6833539,0,1,1
Orange,128766,6833546,1,1,1
SFR,128770,6833549,1,1,0
Bouygues,128841,6844669,1,1,1
Free,128862,6844668,0,1,1
Free,129220,6848789,0,1,1
SFR,129264,6848863,1,1,0
Bouygues,129846,6839759,1,1,0
Orange,129865,6839792,1,1,1
Bouygues,129878,6798001,1,1,0
SFR,129879,6797996,1,1,0
Free,129898,6798012,0,1,1
SFR,130114,6854345,1,1,0
SFR,130418,6842903,1,1,0
Bouygues,133248,6855889,1,1,0
SFR,134821,6834024,1,1,1
Free,134823,6834038,0,1,1
Bouygues,135262,6852772,1,1,1
SFR,135263,6852800,1,1,0
Free,135264,6852783,0,1,0
Orange,135264,6852806,1,1,1
Orange,135485,6833857,1,1,1
Orange,136567,6836278,0,1,1
SFR,136592,6841494,0,1,0
Orange,136595,6841496,0,1,1
SFR,136658,6836986,1,1,1
Orange,136672,6836980,1,1,0
Bouygues,136709,6836971,1,1,1
SFR,136918,6844810,1,1,0
Bouygues,136926,6833491,1,1,1
SFR,137269,6797110,1,1,0
Orange,137508,6843513,1,1,1
Bouygues,137794,6843213,1,1,1
Orange,137903,6835712,1,1,1
Free,137945,6843006,0,1,1
SFR,138045,6836907,1,1,1
Free,138048,6836906,0,1,1
Bouygues,138073,6823980,1,1,1
Orange,138074,6823972,1,1,0
SFR,138177,6823771,1,1,0
Free,138179,6823798,0,1,0
SFR,138848,6856582,1,1,0
Bouygues,138848,6856585,1,1,0
Free,139223,6852006,0,1,0
Bouygues,139226,6852004,1,1,1
Orange,139381,6812351,1,1,0
SFR,139902,6835505,1,1,1
Orange,139907,6835500,1,1,0
Orange,140028,6795550,1,1,1
SFR,140032,6795537,0,1,0
Bouygues,140033,6795536,1,1,0
Free,140035,6795539,0,1,1
Orange,140057,6833570,1,1,1
SFR,140081,6842315,1,1,0
SFR,140594,6833532,1,1,1
Bouygues,140606,6833537,1,1,1
Bouygues,140746,6841216,1,1,1
Orange,140754,6841227,1,1,1
Bouygues,141217,6845048,1,1,1
Orange,141469,6794973,1,1,1
Free,141897,6840844,0,1,1
Orange,141899,6840848,1,1,1
Orange,142146,6834833,1,1,0
Orange,142162,6845551,1,1,0
Orange,142505,6839777,1,1,0
SFR,142515,6839739,1,1,0
Orange,142613,6818411,0,1,1
Orange,142726,6858673,1,1,0
Bouygues,142727,6858669,1,0,0
Orange,142764,6835819,0,1,1
SFR,143070,6795023,1,1,0
Orange,143096,6835223,1,1,0
SFR,143101,6835220,1,1,1
Orange,143246,6796660,1,1,0
Bouygues,143252,6836009,1,1,1
Bouygues,143253,6796649,1,1,0
Free,143261,6796657,0,1,1
SFR,143346,6834453,1,1,1
Bouygues,143534,6835381,1,1,1
SFR,143693,6838607,1,1,1
Orange,143706,6835896,1,1,1
Bouygues,143721,6836353,0,1,0
Bouygues,143744,6836137,1,1,1
Free,143846,6836139,0,1,1
SFR,143853,6836141,1,1,1
Orange,144094,6837276,1,1,1
SFR,144485,6820483,1,1,0
Free,144487,6820496,0,1,1
Orange,144607,6820243,1,1,1
SFR,144607,6846681,1,0,0
Bouygues,144650,6835630,1,1,1
SFR,144663,6835636,1,1,1
Free,144668,6835629,0,1,1
Bouygues,144702,6838541,1,1,1
Free,144775,6838411,0,1,1
Orange,144789,6838423,1,1,1
Orange,144796,6835589,1,1,1
SFR,144880,6856807,1,1,1
Orange,145035,6836166,0,1,1
SFR,145056,6841887,1,1,1
Orange,145060,6841895,1,1,0
Bouygues,145061,6841894,1,1,1
Free,145062,6841894,0,1,1
Bouygues,145154,6836575,1,1,1
SFR,145204,6835519,1,1,1
Orange,145216,6837970,1,1,1
SFR,145218,6837969,1,1,1
Orange,145233,6836599,1,1,1
SFR,145235,6836483,1,1,1
Free,145247,6836492,0,1,1
Orange,145347,6835997,1,0,0
Bouygues,145445,6860991,1,1,0
Orange,145453,6855967,0,1,0
Orange,145456,6823087,0,0,0
Bouygues,145497,6835869,1,1,1
Bouygues,145536,6820163,1,1,1
Orange,145615,6835818,1,1,1
Orange,145696,6838740,1,1,0
Bouygues,145754,6837668,1,1,1
Free,145754,6837679,0,1,1
SFR,145934,6847505,1,1,0
Bouygues,145949,6847510,1,1,0
SFR,146006,6838487,1,1,1
Free,146011,6838496,0,1,1
Orange,146059,6857350,1,1,1
Free,146069,6836684,0,1,1
Orange,146090,6835696,1,1,0
SFR,146105,6836686,1,1,1
Bouygues,146264,6791515,1,1,0
Free,146265,6791515,0,1,1
Orange,146280,6837789,1,1,1
SFR,146282,6791513,1,1,0
SFR,146286,6837774,1,1,1
SFR,146296,6836331,1,1,1
Orange,146427,6836272,1,1,1
Bouygues,146429,6836950,1,1,1
Orange,146440,6836946,1,1,1
Bouygues,146455,6836068,0,0,1
Bouygues,146548,6836378,1,1,1
SFR,146549,6837030,1,1,1
SFR,146581,6839159,1,1,1
SFR,146631,6835858,1,1,0
Orange,146703,6791134,1,1,0
Bouygues,146720,6836358,1,0,0
Orange,146756,6852775,1,1,0
Free,146758,6840049,0,1,0
Orange,146759,6840053,1,1,1
Orange,146763,6848446,1,1,0
SFR,146820,6836403,1,1,1
Orange,146822,6836040,1,1,1
Bouygues,146860,6836010,1,1,1
Orange,146884,6836539,1,1,1
Free,146887,6837043,0,1,1
SFR,146905,6837061,1,1,1
Bouygues,146921,6836607,1,0,0
Orange,146980,6837209,1,1,1
Free,147007,6856437,0,1,1
Bouygues,147023,6856406,1,1,0
Orange,147052,6836897,0,1,1
SFR,147054,6836884,1,1,1
Bouygues,147075,6839197,1,1,1
Bouygues,147079,6836558,1,0,1
Bouygues,147084,6836503,1,1,1
Orange,147126,6836537,0,0,0
Bouygues,147161,6837407,1,1,1
Orange,147306,6839053,1,1,1
Orange,147478,6836749,1,1,1
Orange,147489,6838248,1,1,1
SFR,147649,6835625,1,1,1
SFR,147651,6836172,1,1,1
Orange,147660,6836184,1,1,1
Bouygues,147665,6835631,1,1,1
SFR,147697,6838762,1,1,1
SFR,147698,6837006,1,1,1
SFR,147718,6836599,1,1,1
Bouygues,147745,6840480,1,0,0
Orange,147805,6823979,1,1,0
Free,147877,6838761,0,1,1
SFR,147933,6835307,1,0,0
Free,147945,6843572,0,1,1
Bouygues,147950,6843572,1,1,1
Orange,147979,6799006,1,1,0
Orange,147982,6843617,1,1,1
SFR,148087,6837613,1,1,1
Free,148088,6837614,0,1,1
Orange,148091,6837628,1,1,1
Orange,148146,6842502,1,1,1
Orange,148205,6860258,1,1,1
SFR,148211,6860254,1,1,0
Bouygues,148323,6837516,1,1,1
SFR,148324,6837517,0,1,0
Bouygues,148425,6836747,1,1,1
Free,148440,6836762,0,1,1
SFR,148524,6836656,1,1,1
Orange,148528,6836661,1,1,1
Bouygues,148551,6838825,1,1,1
SFR,148555,6837987,1,1,1
Orange,148587,6838831,0,1,0
Free,148652,6837910,0,1,1
SFR,148750,6840360,1,1,1
Orange,148917,6839329,1,1,1
SFR,148978,6839557,1,1,1
Orange,148997,6837778,1,1,1
Bouygues,149088,6840371,1,1,1
Orange,149095,6840372,1,1,0
Free,149153,6840450,0,1,1
Bouygues,149477,6837139,1,1,1
Orange,149480,6836231,1,1,1
SFR,149482,6836210,1,1,1
Free,149515,6836165,0,1,1
Orange,149558,6837196,1,1,1
SFR,149689,6837098,1,1,1
Free,149692,6837097,0,1,1
Orange,149815,6770693,1,1,1
SFR,149844,6843394,1,1,1
Orange,149852,6843399,1,1,0
Orange,150238,6840176,0,1,0
Orange,150343,6772730,1,1,1
Bouygues,150395,6831904,1,1,1
Bouygues,150462,6791556,1,1,1
SFR,150488,6837542,1,1,1
Orange,150522,6837524,1,1,0
Bouygues,150583,6771074,1,1,1
SFR,150588,6771075,1,1,1
Free,150617,6832088,0,1,1
SFR,150621,6832070,1,1,1
Orange,151046,6771419,0,1,1
Bouygues,151156,6851526,1,1,1
Orange,151156,6851539,1,1,0
Orange,151287,6847896,0,1,0
Orange,151455,6836769,1,1,0
Orange,151485,6839371,0,1,0
Bouygues,151910,6837619,1,1,1
Orange,152076,6838156,1,1,0
Orange,152199,6841129,1,1,1
Bouygues,152319,6841083,1,1,1
SFR,152319,6841107,1,1,1
Free,152321,6841091,0,1,0
Bouygues,152487,6848410,1,1,1
SFR,152493,6848409,1,1,1
Orange,152495,6848411,1,1,1
Orange,152552,6836505,1,1,1
Orange,152740,6787700,1,1,0
SFR,153217,6801245,1,1,1
Bouygues,153218,6801243,1,1,1
Free,153234,6801237,0,1,1
Orange,153334,6840530,1,1,1
Orange,153732,6791863,1,1,0
Bouygues,153829,6771523,1,1,1
SFR,153834,6771525,1,1,1
Bouygues,154089,6837741,1,1,1
SFR,154111,6837723,1,1,1
Orange,154115,6837737,1,1,0
Orange,154258,6801973,1,1,1
SFR,154301,6839018,1,1,1
Free,154303,6839035,0,1,1
Bouygues,154306,6839028,1,1,1
Orange,154519,6800979,1,1,1
Orange,154680,6833853,1,1,1
Bouygues,155170,6802286,0,1,0
SFR,155239,6817271,1,1,0
Bouygues,155240,6817286,1,1,1
Free,155240,6817286,0,1,1
Orange,155245,6817274,1,1,1
Bouygues,155247,6802051,1,1,1
SFR,155349,6802775,1,1,0
Orange,155350,6802771,1,1,1
Free,155358,6787625,0,1,0
SFR,155367,6787605,1,1,1
Orange,155400,6801480,0,1,0
SFR,155458,6834857,1,1,1
Orange,155462,6834871,1,0,0
Bouygues,155464,6834857,1,1,0
Bouygues,155483,6769022,1,1,1
SFR,155486,6769021,1,1,1
Orange,155486,6769024,0,1,0
SFR,155861,6833195,1,1,1
Bouygues,155868,6833207,1,1,1
Free,155875,6833198,0,1,1
Bouygues,155961,6782583,1,1,1
Free,155962,6782584,0,1,1
SFR,155966,6782583,1,1,1
Bouygues,156017,6773969,1,1,1
SFR,156017,6773969,1,1,1
Bouygues,156065,6851087,1,1,0
Orange,156084,6770191,1,1,1
SFR,156152,6775436,1,1,0
Orange,156173,6773231,1,1,0
Bouygues,156515,6770098,1,1,0
Free,156543,6770102,0,1,1
Orange,156651,6842872,1,1,1
Orange,157297,6801243,1,1,1
SFR,157300,6801237,1,1,0
Bouygues,157325,6801230,1,1,1
SFR,157491,6851512,1,1,0
Bouygues,157616,6780309,1,1,1
Free,157616,6780309,0,1,1
SFR,157616,6780309,1,1,1
Orange,157704,6782009,1,1,0
